ID,Order ID,Status,Project Name,Type,Token Name,Stage,From Address,Fund Address,Received Address,Transmit Address,Amount,Project Quota,Platform Quota,Created Time,Updated Time,Amount Float,Buy Amount,Project ID,Transaction Hash,Has Incribed,Page Num,Page Size,Price,Failure Description,Size,Handling Fee
541,2cb792b3-22e8-469d-99e1-27589db168ef,completed,NFT004,NFT,nft04,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,tb1p6v6duc4jllchezh5z5ftxza6s2kcs3x3tge6hny8a3kdyy4r9daquj474x,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1300,null,null,Tue Feb 20 15:53:09 CST 2024,Tue Feb 20 15:53:09 CST 2024,null,1,4,710249bb9ad1aa0536f328959a4828943e0acabf8f8be3358bd84efc609f5134,uninscribed,null,null,null,null,null,null
534,b21fe80f-3e6e-4ecc-8821-2371be3e77c9,unisatVerify,FT001,FT,ckll,public,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,tb1p0ghj44qfkpuular7vez8fqdz3armsw3z2n522g48c4uxgnprscrsd0ekze,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,,2000,null,null,Tue Feb 20 14:31:30 CST 2024,Tue Feb 20 14:31:30 CST 2024,null,2,26,7a5c59333bf553c504e4b843519bf1748a39f1f88253786341fd48b65dd4ba06,inscribed,null,null,null,null,null,null
498,66ccce5f-a494-4568-836c-8022e44e28b7,unisatVerify,Coinmarketcap,FT,CMCA,whitelist,tb1q9ypmt2uvlxs32m0q5n7xjnt0q6taafva94ljc7,tb1qdynfa04napkmmml4erfk6qmrtkf26j04lku4pj,tb1q9ypmt2uvlxs32m0q5n7xjnt0q6taafva94ljc7,,1210,null,null,Thu Feb 01 18:38:48 CST 2024,Thu Feb 01 18:38:48 CST 2024,null,200,34,9a827bf9f971266f733b510ab8c3071e6fc6cfb9b03c06d447e4e05011e371a3,inscribed,null,null,null,null,null,null
497,dc73a4fb-ea10-4153-9c44-b2e5239f14f3,failed,My Project,FT,MyToken,whitelist,test1test1test1test1test1test1test1test1test1,5F6g7H8i9J0k,4G5h6I7j8K9l,3E4f5G6h7I8j,1000000,null,null,Sun Feb 04 17:17:14 CST 2024,Sun Feb 04 17:17:14 CST 2024,null,1,34,txHashasdasdasd,uninscribed,null,null,null,null,null,null
493,66ccce5f-a494-4568-836c-8022e44e28a7,unisatVerify,Coinmarketcap,FT,CMCA,whitelist,tb1qr32nhzfe0hcjdrawqzkwrzkm7xu7k22k823nfw,tb1qdynfa04napkmmml4erfk6qmrtkf26j04lku4pj,tb1qr32nhzfe0hcjdrawqzkwrzkm7xu7k22k823nfw,,1210,null,null,Thu Feb 01 18:38:48 CST 2024,Thu Feb 01 18:38:48 CST 2024,null,16905000,34,38a0e99a632b759b2b07706bc46fc0c2f707ec7d6b71ec93f95fe83dfed09811,inscribed,null,null,null,null,null,null
492,bc857a62-7c25-4f9a-bd30-dc7548090125,completed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1200,null,null,Thu Feb 01 18:01:10 CST 2024,Thu Feb 01 18:01:10 CST 2024,null,1,6,a770f1bebf47191abc64d4bef66fec69aeac89eca01c35581b955ed4426c4401,uninscribed,null,null,null,null,null,null
489,6f43e680-d141-420a-bf51-679eb56c68e0,completed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1200,null,null,Thu Feb 01 17:48:23 CST 2024,Thu Feb 01 17:48:23 CST 2024,null,1,6,554c3af9dce6aa5dea344790a60c79126a86aead7b5db645c74a5b9c78069ea9,uninscribed,null,null,null,null,null,null
488,f02f1a2a-dc2d-4541-b573-e446aa961ef7,completed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1200,null,null,Thu Feb 01 17:47:22 CST 2024,Thu Feb 01 17:47:22 CST 2024,null,1,6,2b5e8600d7d41d1cf4798c79badefa910f897ab5df372d540b0149970c0cc0b2,uninscribed,null,null,null,null,null,null
480,572c0184-6d83-4ec3-9806-aaad56ae2946,unisatVerify,Coinmarketcap,FT,CMCA,whitelist,tb1qln42ttmgsk0ulgnfgrc6tvsuxcasc60u76yhsy,tb1qdynfa04napkmmml4erfk6qmrtkf26j04lku4pj,tb1qln42ttmgsk0ulgnfgrc6tvsuxcasc60u76yhsy,,1210,null,null,Thu Feb 01 17:33:45 CST 2024,Thu Feb 01 17:33:45 CST 2024,null,10,34,aa026e4b3de23150ef6fc6f77f1ec888c02e4e6b411e7847cd9071978ac0501b,inscribed,null,null,null,null,null,null
473,fd551b45-7269-4f2a-a7d8-e293ebe933cf,failed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1200,null,null,Thu Feb 01 15:17:32 CST 2024,Thu Feb 01 15:17:40 CST 2024,null,1,6,235216934d2fa195b4269dfdab78b404647e60e02d0bf6a9b607d37a0e8dcb0b,uninscribed,null,null,null,null,null,null
472,bb9e7f6d-94fc-46a5-9ab5-d90bb0e0f15d,completed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1200,null,null,Thu Feb 01 15:17:21 CST 2024,Thu Feb 01 15:17:21 CST 2024,null,1,6,07cabec47dce7a7f3205ec922400eaf31fadd8344ff476c355721584a59cf7cb,uninscribed,null,null,null,null,null,null
471,86378a19-3d27-4956-9b1c-2c7f9afa3a2d,failed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,6000,null,null,Thu Feb 01 15:17:05 CST 2024,Thu Feb 01 15:17:05 CST 2024,null,5,6,039fbd5ed0a225488d3ba787fe24eb99aea6bdd3cedf1189a7e4808932b5294a,uninscribed,null,null,null,null,null,null
470,16611f27-7427-4bac-b455-7e51273430ac,failed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,2400,null,null,Thu Feb 01 15:16:41 CST 2024,Thu Feb 01 15:16:41 CST 2024,null,2,6,ccdf2ff3a9e79865e033bd5b51e4670c170a19469ce5287505b3dae7db7088a1,uninscribed,null,null,null,null,null,null
469,5797647f-313d-4d6c-8346-ba09fc88ea55,completed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,6000,null,null,Thu Feb 01 15:16:30 CST 2024,Thu Feb 01 15:16:30 CST 2024,null,5,6,8955c35567837499efdbdeb842b465f8ada37d1e08f8ff03cf42ca202fa818e2,uninscribed,null,null,null,null,null,null
468,d7f8592b-e776-4ce9-888a-ab80543c942b,failed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1200,null,null,Thu Feb 01 15:13:58 CST 2024,Thu Feb 01 15:13:58 CST 2024,null,1,6,9e46f38cdae158b152a72c04f74b58ec61e26947bfa92034dec6f7fe822abfac,uninscribed,null,null,null,null,null,null
467,c93fecae-908b-455a-a382-28cabcfe00ba,completed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1200,null,null,Thu Feb 01 15:13:48 CST 2024,Thu Feb 01 15:13:48 CST 2024,null,1,6,73226a1d25c922e8ed9c73eae035850c731e5d13f5c7ff6ece2ab4731f53e527,uninscribed,null,null,null,null,null,null
